Text,Answers0,Answers1,Answers2,Answers3,Explanation,Difficulty
Что такое суперкласс?,"Класс, явлющийся родительским, от которого наследуют другие.","Класс, который произведен от нескольких подклассов одновременно.","Класс, который не может иметь своего собственного кода и может только наследовать код из других классов.","Класс, который используется только в статических контекстах программы.","Суперкласс (также называемый родительским классом или базовым классом) в объектно-ориентированном программировании представляет собой класс, от которого произошел другой класс, называемый подклассом или дочерним классом.

При наследовании, класс-потомок (подкласс) наследует атрибуты и методы класса-предка (суперкласса) и может добавлять свои собственные атрибуты и методы. В этом смысле суперкласс предоставляет общий набор функциональности, который может быть переиспользован в нескольких подклассах, способствуя повторному использованию кода и поддержке принципов абстракции и инкапсуляции.",8
Что такое MonoBehaviour? ,"Это базовый класс в Unity, который позволяет создавать и прикреплять компоненты к игровым объектам.","Это компонент, который отвечает за создание физических объектов в игре.",Это среда разработки для создания пользовательского интерфейса в Unity.,"Это базовый класс, который предоставляет доступ к базовым математическим операциям в Unity.","MonoBehaviour - это базовый класс в Unity, который позволяет создавать компоненты, взаимодействующие с объектами на сцене. Класс MonoBehaviour предоставляет возможность добавлять поведение к игровым объектам, таким как персонажи, предметы, камеры, и т.д.

При создании скриптов в Unity, они должны быть унаследованы от MonoBehaviour. Это позволяет использовать различные методы MonoBehaviour, такие как Start(), Update(), FixedUpdate(), и другие, которые автоматически вызываются движком Unity в определенные моменты жизненного цикла объекта.",9
Какой компонент Unity3D позволяет объектам взаимодействовать с другими объектами на сцене через коллизии и триггеры?,Collider,Mesh Renderer,Camera,Light,"Collider - это базовый компонент, который позволяет определить границы и форму объекта для обнаружения столкновений с другими объектами. Collider не обрабатывает логику столкновений, а просто определяет области, которые могут взаимодействовать с другими коллайдерами.",9
Что в иерархии используется для организации игровых объектов в группы?,Empty objects,Canvas, Event systems,Mesh renderers,"Occlusion map (карта заслонения) - это текстурная карта, которая используется для определения видимости объектов на сцене относительно источника света или камеры. 

Основное предназначение occlusion map состоит в том, чтобы определить, какие пиксели объектов находятся в тени или скрыты другими объектами на сцене. Это позволяет исключить ненужные пиксели из процесса освещения и рендеринга, что увеличивает производительность и позволяет создавать более реалистичные и детализированные сцены.",10
Что такое конструктор?,"Особый метод с именем класса, который запускается при инициализации класса.","Это специальный метод, который вызывается в классе для завершения работы программы.","Это метод, который вызывается в классе во время компиляции.","Особый метод, который используется для передачи данных между различными классами.","Конструктор - это специальный метод в классе, который вызывается автоматически при создании объекта данного класса. 

Основная задача конструктора - обеспечить корректное инициализацию объекта перед его использованием. Он позволяет задать значения полям класса и выполнить другие настройки, чтобы объект был готов к работе сразу после создания.

В языке C#, имя конструктора совпадает с именем класса. Конструктор может быть перегружен, что означает, что в классе может быть несколько конструкторов с разными параметрами. ",11
Какой метод в MonoBehaviour вызывается при активации объекта на сцене?,OnEnable,OnStart,OnActivate,OnAttach,"Метод OnEnable() - это метод в Unity, который вызывается каждый раз, когда компонент становится активным на сцене. Он выполняется после метода Awake() при активации объекта или после включения компонента в объекте.",11
Что такое объект в ООП?, Это экземпляр класса.,"Это свойство класса, которое хранит данные для последующего использования.","Это принцип программирования, который гласит, что каждый класс должен иметь только один объект.",Это значение.,"Объект - это экземпляр класса в ООП. Класс определяет структуру и поведение объектов, а объект представляет конкретный экземпляр этого класса, обладающий уникальным состоянием и поведением.

Класс - это шаблон или описание, которое определяет свойства (поля) и методы (функции), которыми обладает объект данного класса. Он является абстракцией, определяющей общие характеристики для группы объектов.

Объект - это конкретное воплощение класса со своими уникальными значениями свойств и поведением.",12
Что такое обработка исключений?,Механизм перехвата и обработки ошибок для избежания прекращения работы или падения программы.,Механизм уведомления пользователя о проблемах в программе.,Механизм экстренного прекращения работы программы в случае перехвата ошибок.,Механизм для игнорирования ошибок выполнения программы.,"Обработка исключений - это механизм, который позволяет обрабатывать и управлять ошибками и исключительными ситуациями в программе. Когда возникает исключение, это сигнализирует о нестандартной ситуации или ошибке, которая может повлиять на нормальное выполнение программы.

Вместо того чтобы допустить аварийное завершение программы при возникновении исключения, обработка исключений позволяет перехватить и обработать ошибку, предпринять соответствующие действия или продолжить выполнение программы с учетом возникшей ситуации.",13
Какой из следующих компонентов Unity3D используется для работы с физикой и столкновениями объектов?,Rigidbody,Transform,Audio Listener, Mesh Renderer,"Компонент Unity3D, который используется для работы с физикой и столкновениями объектов, называется ""Rigidbody"". Rigidbody добавляется к объектам, чтобы имитировать физическое поведение, такое как гравитация, столкновения и взаимодействия с другими объектами в сцене.",13
"При создании ресурсов, таких как меши для Unity, какую единицу измерения рекомендуется использовать?",Метры,Футы,Кубиты,Дюймы,Основной единицей измерения в Unity является метр (meter). Все размеры и координаты объектов в сцене задаются в метрах.,14
Для чего нужны нормали?,"Нормали указывают на направление поверхности и используются для определения, как свет будет взаимодействовать с объектом.",Нормали используются для определения глубины и плотности объекта в трехмерном пространстве.,"Нормали служат для управления физическими свойствами объекта, такими как его масса и трение.",Нормали используются для определения аудио-эффектов и звуковых свойств объекта.,"Нормали в трехмерной графике используются для определения направления поверхности в каждой вершине меша. Они используются для расчета освещения объектов. Освещение зависит от угла между нормалями поверхности и направлением источника света. Это позволяет создавать реалистичные эффекты светотени и отражений на поверхностях объектов. Нормали также используются для расчета теней. По мере движения источника света, нормали помогают определить, какие части объекта должны находиться в тени, а какие - на свету.

Еще нормали могут быть использованы для расчета столкновений и коллизий объектов. 
",15
Какой компонент Unity3D отвечает за управление анимациями объектов на сцене?,Animator,Rigidbody,Collider,Audio Source,"Компонент Unity3D, который отвечает за управление анимациями объектов на сцене, называется ""Animator"". Он используется для создания и управления состояниями анимации, а также для переходов между ними на основе определенных условий или параметров. С помощью компонента Animator можно создавать сложные анимационные контроллеры и управлять движениями и поведением объектов в игре.",15
В чем разница между ошибкой и исключением?,"Ошибка - дефект в программе.
Исключение - событие,которое возникает в результате ошибки.","Ошибки - это специальные объекты, которые создаются в программе для обработки исключительных ситуаций.","Ошибки возникают только во время выполнения программы, а исключения - только во время компиляции.",Ошибки и исключения - это синонимы и используются взаимозаменяемо в программировании.,"Ошибки - это непредвиденные проблемы в программе, которые приводят к сбою, в то время как исключения - это специальные сигналы о нестандартных ситуациях, которые можно перехватить и обработать в программе для устранения проблемы без аварийного завершения программы.",16
Какой метод в MonoBehaviour вызывается перед уничтожением объекта на сцене?,OnDestroy,OnDisable,OnAwake,OnDelete,"Метод OnDestroy в MonoBehaviour вызывается перед уничтожением объекта на сцене. Этот метод предоставляет возможность выполнить дополнительные действия или освободить ресурсы, связанные с объектом, перед тем, как он будет удален из памяти.",17
Что делает свойство IsKinematic на компоненте Rigidbody?,"Оно отключает физические взаимодействия на объект, позволяя производить преобразования только вручную из кода.","Оно убирает гравитацию объекта, но сохраняет все другие силы.","Снимает с объекта все физические силы, кроме гравитации.","Он преобразует объект в физические силы, которые воздействуют на другие объекты.","Свойство IsKinematic на компоненте Rigidbody в Unity указывает, будет ли объект подвержен физическому взаимодействию с другими объектами в сцене. Когда значение IsKinematic установлено в true, объект не будет реагировать на силы и столкновения, вызванные физическим движением других объектов или гравитацией.

Таким образом, объект с включенным IsKinematic будет двигаться и взаимодействовать с окружающей средой только с помощью своего кода или анимаций, а не с помощью стандартной физической системы Unity. Это может быть полезно, когда нужно контролировать движение объекта сцены напрямую, без влияния на него физических сил.",17
Какой компонент Unity3D используется для отображения 3D моделей на сцене?,Mesh Renderer,Light,Collider,Camera,"Компонент Mesh Renderer отвечает за отрисовку графической информации, представленной в виде меша (3D модели), на экране. Он работает в сочетании с компонентом Mesh Filter, который содержит собственно меш (3D модель), а также с материалами (Materials), определяющими внешний вид объекта.

Компонент Mesh Renderer содержит параметры, такие как материалы, настройки освещения, смещение и масштабирование текстур и другие параметры, позволяющие управлять внешним видом отображаемых 3D объектов.",18
Что означает модификатор virtual?,"Модификатор virtual указывает, что метод может быть переопределен.","Модификатор virtual указывает, что метод является абстрактным и требует реализации в каждом производном классе.","Модификатор virtual указывает, что метод может быть вызван только из других методов в том же классе.","Модификатор virtual указывает, что метод доступен только в пределах текущего класса и не может быть наследован.","Когда метод объявлен с модификатором virtual, он может быть переопределен (или замещен) в производных классах с помощью модификатора override. Это позволяет производным классам предоставлять свою собственную реализацию метода, замещая реализацию из базового класса.",19
Где доступны члены с модификатором public?,"Из любого места программы, включая другие классы и пространства имен.",Только внутри того же проекта (сборки).,Внутри того же класса и его производных классов (наследников).,"Только внутри того же класса, в котором они объявлены.","Члены с модификатором public доступны из любого места программы, включая другие классы и пространства имен. Это означает, что из любого кода, включая код в других классах, объектах или даже в других сборках (проектах), можно обращаться к публичным членам класса.",19
Какое отличие deltaTime и fixedDeltaTime?,"deltaTime это время между кадрами, а fixedDeltaTime это фиксированное значение из настроек.",deltaTime и fixedDeltaTime всегда имеют одинаковое значение во время выполнения игры.,"deltaTime это время между кадрами, а fixedDeltaTime это количество кадров за одну секунду.","deltaTime является статическим свойством класса Time в Unity, а fixedDeltaTime нет.","deltaTime представляет собой время (в секундах) между текущим и предыдущим кадрами. deltaTime может изменяться в зависимости от производительности системы, поэтому движение объектов может быть разным на разных устройствах.
fixedDeltaTime представляет собой фиксированное значение времени между кадрами, которое задается в настройках проекта.fixedDeltaTime не меняется во время выполнения игры и обеспечивает стабильность физических эффектов и симуляций на разных устройствах.",20
"Какое свойство компонента Rigidbody определяет, будет ли объект подвержен гравитации?", useGravity,mass, isKinematic,velocity,"Свойство компонента Rigidbody, которое определяет гравитацию, называется ""useGravity"".

Если значение свойства ""useGravity"" установлено в ""true"", объект будет подвержен гравитации и будет свободно падать под воздействием силы тяжести. Если значение установлено в ""false"", объект будет игнорировать гравитацию и не будет падать.",21
"Какой компонент Unity3D используется для работы с пользовательским вводом, таким как клавиатура и мышь?",Input,Collider,Rigidbody,Animator,"Input предоставляет статические методы для определения состояния клавиш клавиатуры, кнопок мыши и других устройств ввода. С помощью этого компонента вы можете обрабатывать ввод пользователя и реагировать на действия, такие как нажатие клавиш, перемещение мыши, события сенсорных экранов и др.",21
Что представляет собой компонент NavMeshAgent в Unity3D?,Компонент для управления навигацией и перемещением объектов.,Компонент для управления освещением на сцене.,Компонент для работы с физическими эффектами.,Компонент для создания и управления анимациями персонажей.,"Компонент NavMeshAgent в Unity3D представляет собой навигационный агент, который используется для управления движением объектов по навигационной сетке (NavMesh). Навигационная сетка представляет собой пространство, разбитое на маленькие ячейки, в которых определены доступные для движения области.

Когда объекту добавляется компонент NavMeshAgent, он становится способным автоматически перемещаться по навигационной сетке, следуя определенным путям к заданным точкам. Это позволяет реализовать автоматическое управление движением персонажей или других объектов в игре.",22
Что такое var в C#?,"Ключевое слово, которое используется для объявления переменных с неявным типом.","Ключевое слово, которое используется для объявления переменной без инициализации.","Используется для создания переменных, содержащих только числовые значения.","Ключевое слово, которое указывает на переменную с динамическим типом данных.","В C#, ключевое слово var используется для объявления переменной без явного указания её типа. Вместо того, чтобы явно указывать тип переменной, компилятор C# самостоятельно определяет тип переменной на основе выражения, с которым переменная инициализируется.
var number = 10;
var name = ""John"";
var isValid = true;
Использование var упрощает и укорачивает код, особенно в случаях, когда тип переменной очевиден из контекста инициализации. Ключевое слово var особенно полезно при работе с анонимными типами, LINQ-запросами или сложными типами данных, когда точное указание типа может быть громоздким и неудобным.",23
Что такое модификаторы доступа?,"Ключевые слова, определяющие уровень видимости и доступности членов класса.","Это особые ключевые слова, которые позволяют изменять цвет и шрифт текста в коде, делая его более удобочитаемым.","Это специальные инструкции, которые позволяют включать и отключать определенные функции в коде.","Это специальные методы, которые используются для обработки исключений в программе.","Модификаторы доступа в языке программирования определяют уровень видимости и доступности членов класса . 
public: Члены с модификатором public доступны из любого места программы, включая другие классы и пространства имен.
private: Члены с модификатором private доступны только внутри того же класса, в котором они объявлены. 
protected: Члены с модификатором protected доступны внутри того же класса и его производных классов. 
internal: Члены с модификатором internal доступны внутри того же проекта (сборки). Они не видны из других проектов.",23
Какой компонент Unity3D используется для управления движением персонажа в игре?,Character Controller,Collider,Light,Particle System,"Character Controller в Unity - это компонент, который предоставляет простой способ управления движением персонажа в 3D пространстве. Он обеспечивает базовое управление персонажем без использования физического движения Rigidbody, что делает его более подходящим для управления персонажами от первого или третьего лица, особенно в играх с ограниченным движением, например, в платформерах или RPG.

Character Controller предоставляет методы для перемещения персонажа по поверхности, обработки столкновений с препятствиями и управления гравитацией.",24
Что такое draw call?,"Draw call  - это команда, отправляемая графическому процессору для отображения определенного объекта или группы объектов.","Draw call - это событие, которое происходит, когда игровой движок обновляет позиции и повороты объектов на экране.","Draw call - это специальный графический эффект, который придает трехмерным объектам в играх объемность и глубину.","Draw call - это процесс загрузки графических ресурсов, таких как текстуры и модели, в память компьютера.","Draw call (также известный как отрисовка, вызов отрисовки) - это операция, при которой графический движок или API (например, Unity, DirectX, OpenGL) рисует геометрию или объекты на экране. Draw call представляет собой команду, отправляемую процессору видеокарты для отрисовки графических элементов, таких как вершины, индексы, текстуры, материалы и шейдеры.

Каждый draw call является отдельным запросом к видеокарте для отображения определенной графической информации. ",25
Что такое слои (layers) в Unity3D?,Это способ разделения сложной сцены на отдельные части для управления отображением.,Это функция для группировки объектов на сцене.,Это компонент для управления источниками света.,"Это текстура, применяемая к объектам на сцене.","В Unity3D слои (layers) представляют собой механизм, который позволяет классифицировать и группировать объекты на сцене. Каждый объект в Unity может быть помещен на один из 32 доступных слоев. Это позволяет управлять поведением объектов в зависимости от их слоя, осуществлять проверки столкновений с определенными слоями и управлять видимостью объектов на сцене.",25
