Text,Answers0,Answers1,Answers2,Answers3,Explanation,Difficulty
What is MonoBehaviour?,It is a base class in Unity that allows creating and attaching components to game objects.,It is a component that is responsible for creating physical objects in the game.,It is a development environment for creating the user interface in Unity.,It is a base class that provides access to basic mathematical operations in Unity.,"MonoBehaviour is a base class in Unity that allows creating components that interact with objects in the scene. The MonoBehaviour class provides the ability to add behavior to game objects, such as characters, items, cameras, etc.

When creating scripts in Unity, they must be inherited from MonoBehaviour. This allows using various MonoBehaviour methods, such as Start(), Update(), FixedUpdate(), and others, which are automatically called by the Unity engine at specific moments in the object's lifecycle.",9
Which Unity3D component allows objects to interact with other objects in the scene through collisions and triggers?,Collider,Mesh Renderer,Camera,Light,Collider is a basic component that allows defining the boundaries and shape of an object for collision detection with other objects. The Collider does not process collision logic; it simply defines areas that can interact with other colliders.,9
What is used in the hierarchy to organize game objects into groups?,Empty objects,Canvas, Event systems,Mesh renderers,"Occlusion map is a texture map used to determine the visibility of objects in the scene relative to a light source or camera.

The main purpose of an occlusion map is to determine which pixels of objects are in shadow or hidden by other objects in the scene. This allows excluding unnecessary pixels from the lighting and rendering process, which increases performance and enables the creation of more realistic and detailed scenes.",10
What is a constructor?,"A special method with the same name as the class, which is executed during the class initialization.",It is a special method that is called in a class to finalize the program's operation.,It is a method that is called in a class during compilation.,A special method used for passing data between different classes.,"Constructor is a special method in a class that is automatically called when an object of that class is created.

The main task of a constructor is to ensure proper initialization of the object before its use. It allows setting values to the class fields and performing other configurations so that the object is ready for use immediately after creation.

In the C# language, the constructor's name matches the class name. The constructor can be overloaded, which means that the class can have multiple constructors with different parameters.",11
Which method in MonoBehaviour is called when the object is activated in the scene?,OnEnable,OnStart,OnActivate,OnAttach,The method OnEnable() is a method in Unity that is called every time a component becomes active in the scene. It is executed after the Awake() method when the object is activated or when the component is enabled on the object.,11
What is an object in OOP?,It is an instance of a class.,This is a class property that stores data for later use.,This is a programming principle that states that each class should have only one object.,This is a value.,"Object - is an instance of a class in OOP. The class defines the structure and behavior of objects, while an object represents a specific instance of that class with its unique state and behavior.

Class - is a template or blueprint that defines the properties (fields) and methods (functions) that objects of this class possess. It serves as an abstraction, defining common characteristics for a group of objects.

Object - is a concrete embodiment of a class with its unique property values and behavior.",12
What is exception handling?,Error handling mechanism for avoiding program termination or crashes.,The mechanism for notifying the user about issues in the program.,Mechanism for emergency program termination in case of error interception.,Mechanism for ignoring program runtime errors.,"Exception handling is a mechanism that allows handling and managing errors and exceptional situations in a program. When an exception occurs, it signals a non-standard situation or error that may impact the normal execution of the program.

Instead of allowing the program to crash when an exception occurs, exception handling allows catching and handling the error, taking appropriate actions, or continuing the program's execution considering the encountered situation.",13
Which of the following Unity3D components is used for physics and object collisions?,Rigidbody,Transform,Audio Listener, Mesh Renderer,"The Unity3D component used for working with physics and object collisions is called 'Rigidbody'. Rigidbody is added to objects to simulate physical behavior, such as gravity, collisions, and interactions with other objects in the scene.",13
"When creating resources such as meshes for Unity, what unit of measurement is recommended to use?",Meters.,Feet.,Cubits.,Inches.,The primary unit of measurement in Unity is the meter. All sizes and coordinates of objects in the scene are specified in meters.,14
What are normals used for?,Normals are used to determine the depth and density of an object in three-dimensional space.,Normals are used to determine the depth and density of an object in three-dimensional space.,"Normals are used to control the physical properties of an object, such as its mass and friction.",Normals are used to determine audio effects and sound properties of an object.,"Normals in 3D graphics are used to determine the direction of the surface at each vertex of the mesh. They are used to calculate the lighting of objects. Lighting depends on the angle between the surface normals and the direction of the light source. This allows creating realistic effects of shading and reflections on the surfaces of objects. Normals are also used for calculating shadows. As the light source moves, normals help determine which parts of the object should be in shadow and which should be in the light.

Additionally, normals can be used for collision detection and object collisions.",15
Which component is responsible for controlling animations in the scene?,Animator,Rigidbody,Collider,Audio Source,"The Unity3D component responsible for managing object animations in the scene is called the 'Animator'. It is used for creating and controlling animation states, as well as transitions between them based on specific conditions or parameters. With the Animator component, you can create complex animation controllers and control the movements and behavior of objects in the game.",15
What is the difference between an error and an exception?,"Error - a defect in the program.
Exception - an event that occurs as a result of an error.",Errors are special objects created in the program to handle exceptional situations.,"Errors occur only during program execution, while exceptions occur only during compilation.",Errors and exceptions are synonyms and are used interchangeably in programming.,"Errors are unforeseen issues in a program that lead to a crash, while exceptions are special signals of non-standard situations that can be caught and handled in the program to resolve the issue without crashing the program.",16
Which method in MonoBehaviour is called before the object is destroyed on the scene?,OnDestroy,OnDisable,OnAwake,OnDelete,The OnDestroy method in MonoBehaviour is called before the object is destroyed in the scene. This method provides an opportunity to perform additional actions or release resources associated with the object before it is removed from memory.,17
What does the IsKinematic property do on the Rigidbody component?,"It disables physical interactions on the object, allowing manual transformations only through code.",It removes the object's gravity but preserves all other forces.,It removes all physical forces from the object except for gravity.,It converts the object into physical forces that affect other objects.,"The IsKinematic property on the Rigidbody component in Unity indicates whether the object will be subject to physical interactions with other objects in the scene. When the IsKinematic value is set to true, the object will not respond to forces and collisions caused by the physical movement of other objects or gravity.

Therefore, an object with IsKinematic enabled will move and interact with the environment only through its own code or animations, not through Unity's standard physics system. This can be useful when you need to directly control the movement of an object in the scene without it being affected by physical forces.",17
Which Unity3D component is used for displaying 3D models on the scene?,Mesh Renderer,Light,Collider,Camera,"The Mesh Renderer component is responsible for rendering the graphical information represented as a mesh (3D model) on the screen. It works in conjunction with the Mesh Filter component, which contains the actual mesh (3D model), as well as with materials that define the object's appearance.

The Mesh Renderer component includes parameters such as materials, lighting settings, texture offset and scaling, and other parameters that allow you to control the appearance of the displayed 3D objects.",18
"What does the ""virtual"" modifier mean?","The ""virtual"" modifier indicates that the method can be overridden.","The ""virtual"" modifier indicates that the method is abstract and requires implementation in each derived class.","The ""virtual"" modifier indicates that the method can be called only from other methods within the same class.","The ""virtual"" modifier indicates that the method is accessible only within the current class and cannot be inherited.","When a method is declared with the 'virtual' modifier, it can be overridden in derived classes using the 'override' modifier. This allows derived classes to provide their own implementation of the method, replacing the implementation from the base class.",19
"Where are members with the ""public"" modifier accessible?","From anywhere in the program, including other classes and namespaces.",Only within the same project (assembly).,Inside the same class and its derived classes (subclasses).,Only within the same class where they are declared.,"Members with the 'public' modifier are accessible from anywhere in the program, including other classes and namespaces. This means that from any code, including code in other classes, objects, or even in other assemblies (projects), you can access the public members of the class.",19
What is the difference between deltaTime and fixedDeltaTime?,"deltaTime is the time between frames, while fixedDeltaTime is a fixed value from the settings.",deltaTime and fixedDeltaTime always have the same value during the execution of the game.,"deltaTime is the time between frames, while fixedDeltaTime is the number of frames per second.","deltaTime is a static property of the Time class in Unity, while fixedDeltaTime is not.","deltaTime represents the time (in seconds) between the current and previous frame. deltaTime can vary depending on the system's performance, so the movement of objects may be different on different devices.

fixedDeltaTime represents a fixed value of time between frames, which is set in the project settings. fixedDeltaTime does not change during the game's execution and ensures the stability of physical effects and simulations on different devices.",20
Which property of the Rigidbody component determines whether gravity will affect the object?, useGravity,mass, isKinematic,velocity,"The property of the Rigidbody component that determines gravity is called 'useGravity'.

If the value of the 'useGravity' property is set to 'true', the object will be subject to gravity and will freely fall under the influence of gravity force. If the value is set to 'false', the object will ignore gravity and will not fall.",21
"Which component provides static methods for determining the state of keyboard keys, mouse buttons, and other input devices?",Input,Collider,Rigidbody,Animator,"Input provides static methods for determining the state of keyboard keys, mouse buttons, and other input devices. With the help of this component, you can handle user input and respond to actions such as key presses, mouse movements, touch screen events, etc.",21
What does the NavMeshAgent component represent in Unity3D?,A component for controlling the navigation and movement of objects.,A component for controlling the lighting in the scene.,A component for working with physical effects.,A component for creating and controlling character animations.,"The NavMeshAgent component in Unity3D is a navigation agent used to control the movement of objects on a navigation mesh (NavMesh). The navigation mesh is a space divided into small cells, where accessible areas for movement are defined.

When an object is assigned the NavMeshAgent component, it becomes capable of automatically navigating the NavMesh, following predetermined paths to specified points. This allows for implementing automatic movement control for characters or other objects in the game.",22
"What is ""var"" in C#?",The keyword used to declare variables with implicit types.,The keyword used to declare a variable without initialization.,Used to create variables that hold only numeric values.,The keyword that indicates a variable with dynamic data type.,"In C#, the 'var' keyword is used to declare a variable without explicitly specifying its type. Instead of explicitly stating the variable type, the C# compiler determines the type of the variable based on the expression with which the variable is initialized.

var number = 10;
var name = ""John"";
var isValid = true;

Using 'var' simplifies and shortens the code, especially in cases where the variable type is evident from the initialization context. The 'var' keyword is particularly useful when working with anonymous types, LINQ queries, or complex data types, where specifying the exact type may be cumbersome and inconvenient.",23
What are access modifiers?,Keywords that determine the visibility and accessibility level of class members.,"These are special keywords that allow you to change the color and font of the text in the code, making it more readable.",These are special instructions that allow enabling and disabling specific features in the code.,These are special methods used to handle exceptions in a program.,"Access modifiers in programming languages determine the visibility and accessibility level of class members.
public: Members with the 'public' access modifier are accessible from any part of the program, including other classes and namespaces.
private: Members with the 'private' access modifier are only accessible within the same class in which they are declared.
protected: Members with the 'protected' access modifier are accessible within the same class and its derived classes.
internal: Members with the 'internal' access modifier are accessible within the same project (assembly). They are not visible from other projects.",23
Which Unity3D component is used to control character movement in the game?,Character Controller,Collider,Light,Particle System,"The Character Controller in Unity is a component that provides a simple way to control character movement in 3D space. It offers basic character control without using the physics-based Rigidbody, making it more suitable for controlling first-person or third-person characters, especially in games with constrained movement, such as platformers or RPGs.

The Character Controller provides methods for moving the character along surfaces, handling collisions with obstacles, and controlling gravity.",24
What is a draw call?,Draw Call - is a command sent to the graphics processor to render a specific object or group of objects.,Draw call - it is an event that occurs when the game engine updates the positions and rotations of objects on the screen.,Draw call - a special graphics effect that gives three-dimensional objects in games volume and depth.,"Draw call - is the process of loading graphical resources, such as textures and models, into the computer's memory.","Draw call (also known as rendering call) is an operation in which a graphics engine or API (such as Unity, DirectX, OpenGL) draws geometry or objects on the screen. A draw call is a command sent to the video card's processor to render graphical elements, such as vertices, indices, textures, materials, and shaders.

Each draw call is a separate request to the video card to display specific graphics information.""",25
What are layers in Unity3D?,This is a way of dividing a complex scene into separate parts for rendering control.,This is a function for grouping objects in the scene.,This is a component for controlling light sources.,This is a texture applied to objects in the scene.,"In Unity3D, layers represent a mechanism that allows classifying and grouping objects in the scene. Each object in Unity can be placed on one of the 32 available layers. This allows controlling the behavior of objects depending on their layer, performing collision checks with specific layers, and managing the visibility of objects in the scene.",25
What visual effect do orthographic cameras remove?,Perspective,Gamma color correction,Depth of Field,Glow,"Orthographic camera in Unity is a type of camera that creates an isometric or orthographic projection of the scene. Unlike a perspective camera, an orthographic camera does not create perspective distortion and does not take into account the distance to objects. All objects in the scene are displayed at the same scale, making this type of camera commonly used for 2D games or for creating isometric projections in 3D scenes.",26
What are partial classes?,Partial classes allow splitting the definition of a class across multiple files.,Partial classes can be inherited only once and cannot be extended by other classes.,Partial classes allow declaring static methods and properties that are not accessible to instances of the class.,Partial classes are used to create objects with a variable number of properties and methods.,"Partial classes in C# allow defining a class in multiple separate files. Each file contains a part of the class definition marked with the keyword 'partial.' All these parts are combined by the compiler into one class during compilation.

File1:
public partial class MyClass
{
    public void Method1()
}

File2:
public partial class MyClass
{
    public void Method2()
}",27
What is garbage collection (GC)?,This is an automatic memory management process that tracks and removes objects that are no longer in use.,This is an automatic process of deleting garbage from the system disk to free up space.,This is the process of clearing the RAM from data that is not currently being used by the program.,This is the process of removing unused variables from the program.,"Garbage Collection (GC) is an automatic memory management process in programs that tracks and removes objects that are no longer in use and have become inaccessible to the program.

In programming languages with automatic memory management, such as C# or Java, programmers do not need to explicitly release memory allocated for objects. Instead, the garbage collector tracks which objects do not have references to them from the program and periodically frees the memory occupied by these objects.

Garbage collection helps avoid memory leaks and simplifies the memory management process.",27
What is an API?,"API - Application Programming Interface, is a set of rules and instructions that defines how different components can interact with each other.",API - Application Programming Interface. It is a data encryption method used to ensure security on the Internet.,API - Application Programming Interface. It is a method of developing automated systems for creating complex web site systems.,API - is a device for connecting to a computer and inputting commands using voice.,"API (Application Programming Interface) - is a set of rules and protocols that define how different software components interact with each other. It provides a set of functions, procedures, classes, and structures that programmers can use to create applications or integrate different systems.
An example of an API could be the OpenWeatherMap API, where we can use an API key and send a request to get weather data. The result will be a response in JSON or XML format with weather information for the specified city or location.",28
What is Boxing/Unboxing in C#?,Boxing and Unboxing - these are processes of converting value types to reference types and vice versa.,Boxing and Unboxing are special methods used for serialization and deserialization of objects in C#.,Boxing and Unboxing are mechanisms that allow creating anonymous types and working with them in C#.,Boxing and Unboxing - are ways of memory management and resource releasing in C#.,"Boxing is the process of converting a value type data into an instance of a corresponding reference type. During boxing, the value of a variable is copied into a new container object on the heap, and the variable becomes a reference to that object.

int number = 42;
object boxedNumber = number;

Unboxing is the process of extracting a value from a boxed object and converting it back to the original value type. During unboxing, the value is extracted from the container object and converted to the original data type.

object boxedNumber = 42;
int number = (int)boxedNumber;",29
What are generics?,"Generics - it is a mechanism that allows creating generic types, methods, and classes.",Generics are a way of using methods that automatically determine data types during program execution.,Generics - is a mechanism for working with textual data.,Generics - are a set of pre-defined generic classes and methods that can be used in the C# language.,"Generics in C# represent a mechanism that allows creating generic types, classes, and methods that can work with various data types. This enables code reuse and provides type safety at compile time.

public static void Swap<T>(ref T a, ref T b)
{
    T temp = a;
    a = b;
    b = temp;
}

In this example, the Swap method is generic because it is defined with a type parameter T.",29
"Where are members with the ""private"" modifier accessible?",Only inside the same class in which they are declared.,Within the same project (assembly).,Within the same class and its derived classes (inheritors).,"From anywhere in the program, including other classes and namespaces.","Members with the ""private"" modifier are only accessible within the same class in which they are declared. This means that members with the ""private"" modifier are not accessible from other classes, even if those classes are in the same assembly.",30
Why do we need separate Update and FixedUpdate?,"Update is used where time dependency is important, FixedUpdate is used where independence from FPS is important.","Update is intended for physics calculations, while FixedUpdate is for animation and user input.",Update works in a separate thread from FixedUpdate.,Update and FixedUpdate do the same thing but are processed in an arbitrary order.,"Separating the update logic into Update and FixedUpdate helps to control object updates more accurately. This is particularly important for physics calculations and other operations that need to occur at a constant frequency.

Update: Called every rendering frame and is used for updating logic that depends on time (user input, object movement, animations).

FixedUpdate: Called at a fixed rate (0.02 seconds). It is intended for handling physics calculations and other operations that need to be performed at a constant frequency regardless of the game's FPS.",31
"To trigger the OnTriggerEnter event when two objects collide, what two components must be present on these objects?",Rigidbody and Collider.,Collider and MeshRenderer.,Collider and MeshFilter,MeshRenderer and MeshFilter,"The Rigidbody component is used to add physical properties to an object, allowing it to interact with the physical world, experience forces, gravity, and simulate realistic movements.

The Collider component defines the boundaries and shape of an object, enabling it to interact with other objects through collisions and collisions. Collider is also used to handle physical interactions with surrounding objects and other physical bodies in the scene.",31
What are Coroutines in Unity?,A mechanism that allows creating asynchronous operations and managing the timing of tasks in the game.,Mechanism that allows performing long operations without impacting the game's performance.,The mechanism used for asynchronous processing of user input.,Mechanism used for synchronous execution of code without delays.,"Coroutines in Unity are a mechanism that allows you to create asynchronous operations and control the timing of tasks in the game. They enable the execution of delayed actions or animations without blocking the main execution thread, which facilitates handling complex tasks such as animations, scene transitions, and other lengthy operations.

Working with Coroutines is done using the 'yield' keyword, which allows the function's execution to be paused and resumed later.",32
"In what order are MonoBehaviour lifecycle methods called, starting from object initialization to its destruction?","Awake, Start, FixedUpdate, Update, LateUpdate, OnDestroy","Awake, Start, Update, FixedUpdate, LateUpdate, OnDestroy","Start, Awake, Update, LateUpdate, FixedUpdate, OnDestroy"," Start, Awake, FixedUpdate, LateUpdate, Update, OnDestroy","Awake() - for initializing variables and components of the object.
Start() - for starting processes that depend on other objects.
FixedUpdate() - for working with physics and moving objects.
Update() - for updating the logic of the object and processing user input.
LateUpdate() - for executing logic that depends on the update of other objects.
OnDestroy() - called before the object is destroyed. Used for freeing resources and clearing memory.",33
What is Cinemachine in Unity?,It is a toolkit for creating complex camera movements and camera control in the game.,This is a special editor for creating animated camera effects.,This is a library for creating 3D models and animations in Unity.,This is a component for displaying animated effects in the scene.,"Cinemachine is a package for Unity that provides convenient tools for creating complex camera systems. It allows easy customization and control of cameras in the game, adding transition effects between cameras, real-time camera control, and creating dynamic camera tracks. Cinemachine simplifies the process of creating cinematic camera effects and provides a more flexible and efficient approach to camera management in a game project.",33
Which C# attribute displays a private variable in the inspector of objects?,SerializedField,Serializable,HideInInspector,Range,"The SerializedField attribute is used in Unity to display and edit private or protected variables in the inspector editor, making them editable without the need to make them public. This way, you can maintain encapsulation while still allowing the values to be edited in the inspector without accessing them from outside the class.",34
How much time does FixedUpdate take by default?,0.02 seconds,The time depends on the complexity of the logic you perform in this method.,1 millisecond,one frame time (1/60 second at 60 FPS),"FixedUpdate is called at a fixed frequency, which is by default 50 times per second (every 0.02 seconds). However, this value can be changed in the project settings.",35
What is Raycast in Unity3D and what is it used for?,This is a method for checking the collision of a ray with objects in the scene.,This is a component for handling user input.,This is a method for setting up the camera in the scene.,This is a component for creating a light beam in the scene.,Raycast is a method used to detect collisions of a ray with objects in the scene. The ray represents a virtual beam of light that originates from a starting point and is directed in a specific direction. Raycast checks if this ray intersects with any colliders in the scene and returns information about the first object it collides with.,35
What does the Range attribute do?,Limits the value of the variable using a slider.,He checks the values of variables through a text field widget.,It restricts variable values using a color picker widget.,It represents the valid variable options in the dropdown list.,"The [Range(min, max)] attribute in Unity is used to restrict the range of values for numerical fields (e.g., float or int) in the inspector. It allows setting a minimum and maximum value that the numerical field can take.

Applying the [Range] attribute to a numerical field allows the developer to set value constraints in the Unity editor's inspector, preventing the input of invalid or incorrect values for that field.",36
Who has access to variables with the protected modifier at the class level?,Accessible to the class itself and its derived classes (subclasses).,They are accessible only within the class where they are declared.,They are accessible only within classes that are in the same namespace as the class where they are declared.,They are accessible only in classes located in the same source code file as the class where they are declared.,"Variables with the ""protected"" modifier at the class level are accessible to the class itself, derived classes (inheritors), and any other classes within the same assembly.",37
What does the [Space(20)] attribute do?,It adds a 20-pixel margin above the variable inside the object inspector.,It inserts 20 spaces as the default value.,It inserts 20 pixels on the left and right of the variable in the inspector.,It limits the number of consecutive whitespace characters to 20.,"The [Space(X)] attribute is used in Unity to add vertical space (padding) between serialized fields in the inspector. The value specified in parentheses determines the amount of spacing in pixels.

For example, if we have multiple serialized fields in a MonoBehaviour script and we want to add a large vertical space between them in the inspector, we can apply the [Space(20)] attribute before the field that should be separated from the others.",37
Can a class implement two interfaces that have the same method declarations?,"A class can implement two interfaces with the same methods, but you need to specify the membership of each method.","A class can implement two interfaces with the same methods, but their implementation must be the same.","When the method is called, only the implementation of the first interface will be used.","A class cannot implement two interfaces with identical methods, as it causes a method name conflict.","When a class implements two interfaces with the same method names, it must explicitly indicate which method belongs to which interface to avoid ambiguity. This is done by using the full qualification of the method name, indicating the corresponding interface:

((IInterface1)myObj).MyMethod();   // Call MyMethod from IInterface1
((IInterface2)myObj).MyMethod();  // Call MyMethod from IInterface2",38
What is a draw call in Unity?,"This is a command for displaying objects on the screen, which contains information about the object's parameters.",This is part of the rendering process that is responsible for calculating lighting.,This is the process of handling physical interactions between objects in Unity.,This is a way of determining which objects should be displayed on the screen.,"Draw call in Unity is the process of sending graphics commands to render objects on the screen. Every time Unity renders objects in the scene, it generates a draw call for each object or set of objects with the same materials and display settings.

A draw call contains information about which object to render, which material to use, its position, rotation, and scale, as well as other settings such as blending modes, shading on or off, masking, etc.",39
"What does this code do:
float Answer = Random.value * 10f;",Selects a random value between 0 and 10.,Selects a random value greater than 10.,Selects a random value less than 10.,Selects a random value that is a multiple of 10.,"Random.value returns a random floating-point value in the range from 0.0 (inclusive) to 1.0 (exclusive). Therefore, it is a function that generates a random floating-point number from 0 to 1.",39
What is encapsulation (1st principle of OOP)?,Encapsulation is hiding the implementation details of objects and providing an interface to work with them.,The process of turning an object into a capsule that can be used to store other objects.,The ability of an object to interact only with objects of its own class.,Principle that prohibits the use of public methods and fields in a class.,"Encapsulation is the first principle of OOP (Object-Oriented Programming), which involves combining data and methods that operate on this data into a single object (class) and providing access to them only through the interface (public methods) of this object. The essence of encapsulation is that the internal state of the object remains hidden from external code, and changes to the object's data are made only through the established methods.

The main goal of encapsulation is to control access to the data and methods of the object, providing a protected interface for working with the object.",40
Which statement is not true?,Only humanoid characters have bones.,The update function is never called automatically until the object is active.,Coroutines will continue to run on inactive objects.,All component scripts inherit from MonoBehaviour.,"Bones are commonly used in character or object animations to control their movement. In computer graphics and 3D modeling, bones are invisible points or entities used to create a hierarchical structure that describes and controls the movement of the model.",41
"What is a graphics library (OpenGL, DirectX)?",A graphics library is a set of tools and functions for managing graphics and visual effects.,A graphics library is a set of physical components that are connected to improve graphical output.,A graphics library is software for creating and editing photos and images.,Graphics library is a system that manages the placement and display of graphical elements on websites.,"A graphics library, such as OpenGL or DirectX, is a set of software interfaces and functions that developers can use to create and manage graphics in applications. They provide access to low-level rendering operations and interaction with the video card.
For example: the C++ command ""pDeviceContext->ClearRenderTargetView(pRenderTargetView, DirectX::Colors::SteelBlue);"" instructs the DirectX device to clear the back buffer and fill it with the specified color before starting to render a new frame.",41
"What is the ""Single Responsibility Principle"" (1st principle of SOLID)?",A class should be responsible for only one functionality or task.,The principle requires each method in a class to perform only one task.,"The class should perform one operation at a time, and all other operations should be deferred.",Every class should be as useful as possible and include as much functionality as possible.,"The Single Responsibility Principle means that each class should have only one reason to change. In other words, a class should be responsible for only one well-defined functionality or task.

The essence of this principle is to separate different functionalities into different classes. This reduces the complexity of classes, makes them more understandable, and improves the maintainability of the source code. When a class performs multiple unrelated tasks, changes in one task may affect others, making it more difficult to understand and maintain the code.",42
What is Unity Package Manager (UPM)?,This is a tool for installing and managing packages and their dependencies in a Unity project.,"This is a special component for creating packed files of scenes, models, and assets in Unity.",This is a tool for backing up and restoring Unity projects.,This is a tool for sharing assets and code between different Unity projects.,"Unity Package Manager (UPM) is a tool in Unity that provides management and installation of packages and their dependencies in a Unity project. It allows developers to easily add third-party packages to their projects and manage versions and updates of these packages.

UPM provides a convenient interface for searching, installing, and removing packages from the Unity Asset Store, Git repositories, or local paths. It also automatically resolves dependencies between packages, making it easy to integrate third-party libraries and tools into the project.",43
What is Procedural Generation in Unity?,"A technique for generating content in a game, such as levels, worlds, or textures.",Method for generating random numbers in the game process.,Algorithm for optimizing character animation work.,A mechanism for creating random collisions between objects in the scene.,"Procedural Generation in Unity is a method of creating content such as levels, worlds, textures, models, animations, and other elements using algorithms and random numbers, instead of traditional manual creation of each element.

Procedural generation allows developers to automate and streamline the process of creating a large volume of content, which is particularly useful for generating large open worlds or repetitive elements in a game.",43
"User interface elements, such as images and buttons, can be anchored to specific positions on the screen to create adaptive interfaces. Which Unity features help achieve this?",Anchors and pivots.,Events and raycasts.,Quaternions and Euler angles.,"Opacity and transparency (Opacity, transparency).","Anchors and Pivots in Unity are used to control the positioning and scaling of UI elements and sprites.

Anchors: Anchors determine how elements will stretch and scale when the size of the parent element or the screen changes. Setting anchors allows elements to automatically adjust to different screen resolutions or sizes of the parent container.

Pivots: Pivots determine the point around which an object rotates and scales. Setting pivots allows you to control the pivot point for rotation and scaling, which is useful for animation and positioning of objects.",44
"Where are members with the ""protected"" modifier accessible?",Within the same class and its derived classes (inheritors).,Within the same project (assembly).,"From anywhere in the program, including other classes and namespaces.",Only within the same class in which they are declared.,Members with the 'protected' modifier are accessible within the same class and its derived classes (inheritors) but are not accessible from other classes outside the inheritance hierarchy.,45
